Nombre,Edad,Altura,Posicion,Equipo,Liga,ELO,Partidos_jugados,Partidos_titular,Goles,Asistencias,Tarjetas_amarillas,Valor_Mercado,Goles_por_partido,Asistencias_por_partido,Participacion_goles,Participacion_por_partido,Posición_Club,Aporte_Goles,Aporte_Puntos,RC,IDR,Impacto_Total
O. Ramírez,23.0,,Centrocampistas,MEXICALI FC,Liga Premier Serie A Grupo A,32.0,13,12,1.0,0.0,1.0,5000.0,0.08,0.0,1.0,0.08,12,16.67,inf,0.0,-2.23,0.106
F. Serafino,27.0,170.0,Centrocampistas,MEXICALI FC,Liga Premier Serie A Grupo A,30.0,12,12,0.0,0.0,6.0,8000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-2.42,0.05
K. García,17.0,167.0,Centrocampistas,MEXICALI FC,Liga Premier Serie A Grupo A,27.0,7,4,0.0,0.0,1.0,3000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-4.14,0.001
Victor Medina,22.0,172.0,Centrocampistas,MEXICALI FC,Liga Premier Serie A Grupo A,27.0,8,5,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-3.62,0.013
Edgar González,20.0,175.0,Centrocampistas,MEXICALI FC,Liga Premier Serie A Grupo A,26.0,3,1,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-9.67,-0.081
Luis García,20.0,175.0,Centrocampistas,MEXICALI FC,Liga Premier Serie A Grupo A,26.0,1,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-29.0,-0.294
Diego Montiel,23.0,177.0,Centrocampistas,MEXICALI FC,Liga Premier Serie A Grupo A,26.0,3,1,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-9.67,-0.081
Alfredo De Alba,18.0,151.0,Delanteros,UA ZACATECAS,Liga Premier Serie A Grupo A,26.0,1,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,-6.0,-0.056
David García,23.0,183.0,Centrocampistas,AGUACATEROS DE PERIBÁN,Liga Premier Serie A Grupo B,50.0,15,13,21.0,0.0,2.0,298000.0,1.4,0.0,21.0,1.4,1,60.0,19.8,1.4,1.53,0.958
J. Pucheta,22.0,180.0,Delanteros,IRAPUATO,Liga Premier Serie A Grupo B,50.0,1,0,1.0,0.0,0.0,1200000.0,1.0,0.0,1.0,1.0,2,3.03,0.97,0.91,20.0,0.847
Iván Hernández,24.0,179.0,Delanteros,IRAPUATO,Liga Premier Serie A Grupo B,50.0,14,11,13.0,0.0,0.0,325000.0,0.93,0.0,13.0,0.93,2,39.39,12.62,0.85,1.43,0.668
Francisco Castañeda,25.0,185.0,Delanteros,GAVILANES MATAMOROS,Liga Premier Serie A Grupo B,50.0,14,12,12.0,0.0,3.0,348000.0,0.86,0.0,12.0,0.86,5,42.86,17.22,0.55,0.36,0.614
Juan Rangel,25.0,168.0,Centrocampistas,IRAPUATO,Liga Premier Serie A Grupo B,56.0,15,14,9.0,0.0,1.0,77777.0,0.6,0.0,9.0,0.6,2,27.27,8.74,0.55,1.33,0.476
Alejandro Zamora,22.0,165.0,Centrocampistas,AGUACATEROS DE PERIBÁN,Liga Premier Serie A Grupo B,40.0,14,13,7.0,0.0,2.0,80000.0,0.5,0.0,7.0,0.5,1,20.0,6.6,0.5,1.64,0.413
Juan Agualimpia,22.0,170.0,Delanteros,HALCONES DE ZAPOPAN,Liga Premier Serie A Grupo B,29.0,12,10,6.0,0.0,3.0,11000.0,0.5,0.0,6.0,0.5,3,25.0,5.82,0.41,1.08,0.393
